Model,Accuracy (%),Accuracy (Count),Total Samples,Validity Rate (%),Valid Samples,Average Similarity,Average Confidence,Parsing Errors
gpt-5.2,11.70,62,530,67.55,358,0.4657,0.5420,172
claude-sonnet-4.5,18.11,96,530,96.60,512,0.5004,0.8768,18
gemini-2.5-pro,22.08,117,530,76.98,408,0.6113,0.8032,122
deepseek-v3.2,11.32,60,530,85.28,452,0.4156,0.8218,78
claude-haiku-4.5,11.51,61,530,88.68,470,0.4130,0.7900,60
kimi-k2-thinking,11.32,60,530,73.02,387,0.4717,0.6846,143
gemini-3-flash,51.51,273,530,94.72,502,0.7769,0.9407,28
qwen3-max,15.28,81,530,83.02,440,0.4596,0.8547,90
claude-opus-4.5,25.66,136,530,97.74,518,0.5871,0.7981,12
gemini-3-pro,48.30,256,530,96.79,513,0.7443,0.9622,17
deepseek-v3.1,7.36,39,530,84.34,447,0.3731,0.8257,83
deepseek-v3.2-thinking,16.60,88,530,71.13,377,0.5355,0.6252,153
