Model,Accuracy (%),Accuracy (Count),Total Samples,Validity Rate (%),Valid Samples,Average Similarity,Average Confidence,Parsing Errors
gpt-5.2,7.36,39,530,74.91,397,0.3897,0.5149,133
claude-sonnet-4.5,17.55,93,530,95.09,504,0.5198,0.8358,26
gemini-2.5-pro,30.19,160,530,87.74,465,0.6507,0.8280,65
deepseek-v3.2,5.66,30,530,86.04,456,0.3165,0.7812,74
claude-haiku-4.5,9.62,51,530,86.04,456,0.4070,0.7045,74
kimi-k2-thinking,20.57,109,530,71.89,381,0.6020,0.6880,149
gemini-3-flash,51.13,271,530,95.09,504,0.7806,0.9208,26
qwen3-max,4.72,25,530,89.62,475,0.3115,0.8529,55
claude-opus-4.5,28.49,151,530,97.17,515,0.6205,0.7279,15
gemini-3-pro,52.08,276,530,96.04,509,0.7739,0.9503,21
deepseek-v3.1,6.79,36,530,86.23,457,0.3542,0.8502,73
deepseek-v3.2-thinking,20.38,108,530,56.79,301,0.6412,0.5627,229
